,model,train-test-X,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,Ordinary Linear Regression,4,277.0751725024444,101.76416277089383,-0.0041021771508611415,1993987.8210588258,265947675330887.94,16307902.235753315
1,Ridge Regression,4,97.98599880811713,26.361915777378695,0.0020556133547680044,920539.5878902337,264316715745884.8,16257820.14127001
2,Lasso Regression,4,272.47718825154413,99.65955494287498,-0.0038022727364830367,1963844.3142909089,265868242297437.47,16305466.638444833
3,ElasticNet,4,35.18152567941453,17.250271693496604,0.0014387272842721899,647537.9925147414,264480104910977.44,16262844.305685813
4,Ordinary Linear Regression,5,270.04523285364473,195.2178488710789,-0.028787528428588338,1741320.9667124618,65962243600862.87,8121714.326474606
5,Ridge Regression,5,103.66976615080472,54.890976540012275,0.00544793775535779,717670.2683632828,63767185731465.98,7985435.8510644855
6,Lasso Regression,5,264.3129186500938,190.05165497827298,-0.026940684740783816,1704035.6474437197,65843830469034.04,8114421.14195671
7,ElasticNet,5,33.954330974992146,19.227516949181034,0.007953102747402463,390670.2736753809,63606563349390.63,7975372.301616435
8,Ordinary Linear Regression,6,34.248467125433194,28.541196312715616,0.011213911234431273,402285.23710043717,46734328546078.53,6836251.059321807
9,Ridge Regression,6,34.19909955645031,28.81811327993243,0.01121487629134943,402157.4027088106,46734282933293.73,6836247.723224615
10,Lasso Regression,6,34.172119635517106,28.991080550448217,0.011213227629423783,402260.2055739866,46734360856222.63,6836253.422469257
11,ElasticNet,6,34.85993182635433,21.25600676391642,0.010191383805489895,408999.71237050515,46782657637025.98,6839784.911605479
12,Ordinary Linear Regression,7,278.05990913703477,95.17347879013865,-2.0128847100971585,1695436.6808459319,3250318087136.793,1802863.8570720733
13,Ridge Regression,7,81.84468571536638,20.50856354405628,0.31533320638292406,525543.1672483336,738622641449.7527,859431.5804354368
14,Lasso Regression,7,267.0065306653042,90.54125555065637,-1.7967588946285997,1624520.4444687578,3017160261760.862,1736997.4846731534
15,ElasticNet,7,34.570219246075325,16.27109691184291,0.40733719960369885,324470.9779464174,639368182010.2305,799605.0162487917
16,Ordinary Linear Regression,8,336.0423794684894,325.1395236728498,-0.04551747181386445,1907689.5849425106,51422368875196.89,7170939.190593997
17,Ridge Regression,8,113.19958849699134,147.9072535812236,0.007378813074414237,699019.628755085,48820736337259.91,6987183.720016235
18,Lasso Regression,8,319.1549020079581,311.11381283217077,-0.03902797194752927,1812540.3232129596,51103191563541.57,7148649.63217121
19,ElasticNet,8,40.48648998429147,105.53506997565975,0.009733755972289093,417416.8733788856,48704911642179.055,6978890.430589884
20,Ordinary Linear Regression,9,313.1852233015201,130.7541958731268,-0.029026596053012277,1902946.1955892516,75864146041902.16,8710002.643047944
21,Ridge Regression,9,101.04597684803964,32.94894834034815,0.005361723588957368,696996.542381494,73328895239385.88,8563229.252997136
22,Lasso Regression,9,288.60750530681463,119.02723794303762,-0.022775095813590607,1758294.6560956824,75403259288378.4,8683505.011709178
23,ElasticNet,9,36.75518426097714,22.981298506338415,0.005806466925487919,438262.264484578,73296106899839.42,8561314.554426758
24,Ordinary Linear Regression,10,299.7803068981284,114.9782251133072,-2.8530320059256646,1779336.5718945812,3406301691173.0107,1845616.8863480338
25,Ridge Regression,10,97.38787831345056,26.78510432786094,0.318005014086588,584376.7153375823,602922755460.0249,776481.0077909343
26,Lasso Regression,10,275.65597334543816,104.13071352462167,-2.269999531603143,1629893.094103444,2890867482414.9985,1700255.1227433484
27,ElasticNet,10,36.00830028201379,17.329434658435982,0.49955212763583334,327603.4403347525,442424675257.391,665150.1148292699
28,Ordinary Linear Regression,11,45.30557927557916,17.64836296712651,0.008693508565720376,465844.88661208557,67377483240093.08,8208378.84360201
29,Ridge Regression,11,43.92098164930937,17.634723688963206,0.008697992059733983,459533.8687721284,67377178504327.336,8208360.281099224
30,Lasso Regression,11,38.9083819411064,17.966938503719867,0.008636843134432581,439631.4979765908,67381334696912.82,8208613.4454555
31,ElasticNet,11,35.19042858000472,18.101622852840134,0.007766764823076144,435159.04756070604,67440472498740.55,8212214.835155042
