,model,train-test-X,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet Regression,4,40.1507728117767,16.655335166130264,0.5513225966868425,315356.40244656184,233557485872.5001,483277.85576467303
1,Decision Tree Regression,4,19.793835557868697,0.46385628375071786,0.7205200339126472,208583.07357676935,145482339313.47513,381421.4720141947
2,Random Forest Regressor,4,10.421309523809523,0.38577674987263977,0.8715863321630227,125018.3218975547,66845295060.998726,258544.57074361228
3,ElasticNet Regression,5,38.67555791520487,20.150851772770693,0.5561213525782693,314931.4068149027,234400316676.13574,484149.0645205625
4,Decision Tree Regression,5,19.609343250163192,1.1519106998615178,0.7090711268117036,213134.84711490833,153631674786.95328,391958.7666923056
5,Random Forest Regressor,5,10.05765299260256,0.7435829061578832,0.8817160708537409,123824.5998856807,62462546037.3595,249925.0808489606
6,ElasticNet Regression,6,39.41281035160502,17.963296081477683,0.5413257526065356,316749.26446735085,246441204796.58478,496428.44881874445
7,Decision Tree Regression,6,19.856603420004696,0.3803503256900622,0.7125896301354027,212338.37229339188,154422791824.41986,392966.65485053544
8,Random Forest Regressor,6,9.991751224430997,0.35109825608862616,0.8747385387139444,123281.40378064437,67301762872.75942,259425.83308675993
9,ElasticNet Regression,7,38.71275309717863,15.743078250257263,0.544042966900084,306674.3889852521,223689259873.3437,472957.9895438322
10,Decision Tree Regression,7,19.51839928634202,0.33357471753403656,0.7209040927567406,203654.7430986207,136922456268.4689,370030.34506438643
11,Random Forest Regressor,7,9.72415158454728,0.2340417017325279,0.8842702042094873,118587.4703741316,56776210226.80908,238277.59069373074
12,ElasticNet Regression,8,45.77514135202387,88.77592432379967,0.5670682876400914,305112.93326305354,220804729682.8395,469898.6376686354
13,Decision Tree Regression,8,19.994994484804682,67.67604347184147,0.7406675225515409,187283.37428792415,132265287910.77486,363682.94971138646
14,Random Forest Regressor,8,9.458429118773953,70.82611805522092,0.8912497896881647,107251.08368397555,55465007772.159706,235510.101210457
15,ElasticNet Regression,9,42.33442664715899,19.009405091610546,0.5680897426799518,313827.5174900614,232306591412.42297,481981.94096088596
16,Decision Tree Regression,9,20.141460578700887,0.4577693727215897,0.7424827236057954,199282.46516672458,138507849015.0775,372166.4265017433
17,Random Forest Regressor,9,9.492585865584427,0.37941966996574167,0.8939345960234604,112462.29467581067,57048176205.533875,238847.60037633593
18,ElasticNet Regression,10,40.618854654361904,16.963511775941836,0.5567433850155323,321059.4297456169,240696041172.59634,490607.8282830354
19,Decision Tree Regression,10,19.73131836502301,0.5922666091927127,0.7215736186666264,209950.75037678887,151190361247.7459,388832.0476089206
20,Random Forest Regressor,10,9.33966016903531,0.3641195904542998,0.8910913575020927,116564.21147505067,59139284587.20562,243185.69979997922
21,ElasticNet Regression,11,39.36200357989578,17.63517061183062,0.5376478880324229,328339.11130914686,263532788064.58508,513354.44681485434
22,Decision Tree Regression,11,19.413413620109882,0.4758543304872144,0.7274884476480477,213776.37078768053,155326919272.63068,394115.36289851816
23,Random Forest Regressor,11,9.269897222222223,0.3008376507784123,0.8943606882635078,117196.89186125722,60212599078.803185,245382.55659032322
