,model,train-test-X,MdAPE,MAPE,R2,MAE,MSE,RMSE
0,ElasticNet Regression,4,33.85670499647737,19.130516293448594,0.007914351046379942,390191.8382275738,63609047972378.53,7975528.068559381
1,Decision Tree Regression,4,17.767207243284762,0.9360322655397478,0.009822455609770575,282326.5646319901,63486707008332.69,7967854.605120043
2,Random Forest Regressor,4,9.219401342598427,0.665522756858568,0.011097035389232679,205820.5102267693,63404985428727.2,7962724.749024495
3,ElasticNet Regression,5,34.67294622790654,21.150247367091865,0.010207368361487834,408296.30373809766,46781902137428.88,6839729.683067079
4,Decision Tree Regression,5,17.698138041987598,0.5317058327057431,0.014022297630056135,290674.1192901795,46601591997710.086,6826535.870975124
5,Random Forest Regressor,5,8.950929822366716,0.4068780286249563,0.015722623566073235,214008.24433686677,46521227203107.805,6820647.124951401
6,ElasticNet Regression,6,34.41618311299715,16.257093966269025,0.4054308910896639,324211.3800025566,641424719063.2632,800889.9544027651
7,Decision Tree Regression,6,17.646312133682507,0.3071467121423705,0.5345353420485428,215314.82454181396,502146063403.06134,708622.652335544
8,Random Forest Regressor,6,8.716062745098037,0.2795724358742646,0.625367247366865,136873.3422461636,404156059419.23193,635732.6949427974
9,ElasticNet Regression,7,40.32669716480458,104.97650556461996,0.00982342588533791,417040.55329256883,48700501348262.3,6978574.449575092
10,Decision Tree Regression,7,17.430630170305687,87.13949457095038,0.01224818985470788,292415.40664735524,48581242597806.49,6970024.576556849
11,Random Forest Regressor,7,8.749571688516367,74.39306441316091,0.01407131261254524,221425.5115730078,48491574760122.6,6963589.215348835
12,ElasticNet Regression,8,36.67991591565644,22.82956073300638,0.0058213043022528055,438164.8301444681,73295013026345.69,8561250.66951936
13,Decision Tree Regression,8,16.704729548700023,0.34306742040742966,0.008453075468357829,303297.3590009227,73100987844819.7,8549911.56941519
14,Random Forest Regressor,8,8.611919841269847,0.3840583842341911,0.009534151891228082,235346.10945908696,73021286367771.72,8545249.3449736
15,ElasticNet Regression,9,36.02869517862296,17.25975436665003,0.4982451842237462,327991.3802375671,443580088331.5656,666018.084087486
16,Decision Tree Regression,9,17.113170247136157,0.4986139295391543,0.6879002859434777,203367.17986989673,275914080695.507,525275.2427970568
17,Random Forest Regressor,9,8.403992717485949,0.32082784805491127,0.7961719119180891,124163.29089654774,180195741970.01086,424494.6901552608
18,ElasticNet Regression,10,35.16909684641205,18.017157669760238,0.0077356787193122445,435308.15606114786,67442585370444.164,8212343.476161001
19,Decision Tree Regression,10,17.244728228228226,0.43507775830892415,0.009676969020373405,309883.79634373385,67310639039159.01,8204306.127830617
20,Random Forest Regressor,10,8.353842347314199,0.3056011120131634,0.011104594302983828,225900.8372982903,67213605680270.13,8198390.432290361
21,ElasticNet Regression,11,35.214889498485185,17.190064978606152,0.29239106537216075,348429.9740456993,1234010104194.8152,1110860.0740844074
22,Decision Tree Regression,11,17.573442851916152,0.515815553851077,0.38986953222149745,223519.99107875483,1064015906627.5304,1031511.467036373
23,Random Forest Regressor,11,7.981190476190482,0.3540781854272044,0.4429430409590511,139431.2214298534,971460198464.1525,985626.8048628509
24,ElasticNet Regression,12,35.26266655426848,16.16435940503981,-1.5175716695715629,360622.0981638448,2965056660381.7534,1721933.988392631
25,Decision Tree Regression,12,18.008745067617856,0.4024270044038467,0.587735519761747,233732.27999902162,485542301632.77856,696808.6549640285
26,Random Forest Regressor,12,8.070076646009921,0.29235163145817705,0.6941346296183414,137719.1256112664,360231315196.1251,600192.7317088447
